Date,Close,High,Low,Open,Volume
11/9/2021,1220.644165,1250.615339,1217.23835,1248.798904,4102400
11/10/2021,1197.257568,1219.28184,1188.402449,1208.83734,4811200
11/11/2021,1182.499023,1198.846936,1176.822665,1197.711664,3763200
11/12/2021,1154.344116,1182.952959,1138.22326,1159.566365,9910400
11/15/2021,1174.779175,1181.363751,1151.165523,1157.977153,5518000
11/16/2021,1178.639038,1198.619819,1174.325006,1180.001364,5163200
11/17/2021,1219.054688,1219.508796,1181.136615,1185.450647,7675200
11/18/2021,1205.431396,1215.421787,1187.948214,1212.243026,4732000
11/19/2021,1210.653687,1214.059501,1187.494145,1199.528024,4835200
11/22/2021,1199.073853,1202.933776,1181.817724,1198.39269,3176800
11/24/2021,1181.59082,1217.465407,1181.136712,1206.566798,5405600
11/25/2021,1152.073853,1182.272083,1149.576255,1171.600528,5345600
11/26/2021,1115.744995,1157.068884,1112.793289,1145.035004,7362400
11/29/2021,1072.831787,1095.99133,1068.744809,1092.131407,7914400
11/30/2021,1041.044067,1087.590203,1039.227633,1087.590203,9917200
12/1/2021,1043.087524,1057.619001,1014.024572,1043.087524,6764000
12/2/2021,1027.420776,1040.362872,1016.068061,1027.193722,5305200
12/3/2021,1045.130981,1046.947416,1022.198496,1040.81695,4762800
12/6/2021,1018.111633,1039.454741,1009.256514,1036.048926,7280400
12/7/2021,1058.073242,1066.928362,1028.783232,1049.899286,10258800
12/8/2021,1061.706055,1064.657761,1037.86535,1060.797837,7079200
12/9/2021,1046.720337,1061.705921,1042.633359,1058.300106,6488800
12/10/2021,1043.768921,1053.759313,1038.319616,1039.908997,6180400
12/13/2021,1045.812256,1060.343733,1043.087604,1057.619081,4394000
12/14/2021,1031.28064,1047.628549,1027.647771,1038.546377,4770000
12/15/2021,1028.328979,1033.551229,1018.33859,1018.33859,5782000
12/16/2021,1036.04895,1047.855776,1029.464374,1037.184222,6265200
12/17/2021,1024.242065,1047.628661,1020.836251,1027.64788,6142400
12/20/2021,980.647644,1014.478739,980.647644,1008.348272,7242800
12/21/2021,987.005249,999.2661838,981.5559447,992.0004447,6316000
12/22/2021,997.9037476,1002.21778,988.8215747,994.9520414,4577600
12/23/2021,1014.251648,1015.613974,992.2273789,998.5848999,3208000
12/24/2021,1001.309509,1021.290289,1001.309509,1018.565637,2564800
12/27/2021,997.9037476,1005.39654,997.4496389,1001.309562,2259200
12/28/2021,1006.30481,1011.527059,993.1356582,1005.850701,2941600
12/29/2021,1011.981079,1013.797514,1001.990689,1004.261232,3118400
12/30/2021,1005.623657,1011.52707,994.7250491,1004.034277,2841600
1/4/2022,1026.966675,1031.96187,1012.208144,1014.932796,5614400
1/5/2022,1042.633423,1049.672107,1031.053653,1048.309781,6005200
1/6/2022,1036.275879,1056.710767,1029.010141,1046.266269,6594800
1/7/2022,1052.396606,1060.343506,1033.551101,1046.493195,5683600
1/11/2022,1066.02002,1066.928237,1046.03924,1053.986141,6348000
1/12/2022,1101.44043,1109.614385,1078.962054,1081.91376,7545600
1/13/2022,1101.894897,1105.754822,1083.276438,1096.672647,3858400
1/14/2022,1088.952637,1108.47931,1081.686898,1103.484115,5329200
1/17/2022,1110.976807,1121.194251,1093.720678,1093.720678,3215200
1/18/2022,1079.189209,1109.841543,1075.55634,1103.484022,4428800
1/19/2022,1042.179443,1069.19891,1036.730139,1055.348595,5661600
1/20/2022,1056.029541,1063.976441,1022.198451,1026.285428,5630400
1/21/2022,1059.889648,1063.068409,1036.730106,1040.135921,6790000
1/24/2022,1060.797852,1064.203667,1047.401646,1052.85095,3881200
1/25/2022,1046.493408,1060.116668,1040.589996,1045.812245,5085600
1/26/2022,1106.889893,1125.05424,1097.807719,1109.614545,13542000
1/27/2022,1081.005737,1114.60978,1068.744803,1105.981715,9721200
1/28/2022,1094.174683,1102.121583,1076.918556,1089.860651,6066800
1/31/2022,1104.392456,1110.522924,1076.464769,1083.049345,4910000
2/1/2022,1082.140991,1113.928599,1076.918741,1096.899523,4317200
2/2/2022,1118.696777,1122.556701,1094.629016,1098.034832,6485200
2/3/2022,1145.262085,1150.938443,1106.435793,1107.116956,5854800
2/4/2022,1133.682373,1170.011069,1130.049503,1163.199439,7323600
2/7/2022,1090.541992,1123.91898,1083.957416,1110.29572,8855200
2/8/2022,1085.092529,1115.971915,1080.097335,1090.995941,6178800
2/9/2022,1101.894897,1110.977073,1090.769233,1095.991484,6255600
2/10/2022,1120.285889,1142.764264,1114.155423,1122.783486,9205600
